να,9569246,
το,7460197,
δεν,5354999,
είναι,5238595,
θα,4939701,
και,4718628,
μου,3566240,
με,3186744,
για,3083034,
την,2966653,
ο,2898956,
η,2577653,
τον,2523921,
τα,2479800,
που,2477071,
σου,2464399,
σε,2415643,
αυτό,2360488,
του,2302725,
τι,2298379,
ότι,2086376,
από,1882234,
στο,1831681,
της,1366660,
όχι,1365953,
ναι,1331107,
ένα,1284852,
τη,1204489,
αν,1193274,
αλλά,1185640,
εδώ,1151416,
μια,1147723,
σας,1137893,
τους,1129821,
ήταν,1128806,
μας,1082495,
πρέπει,1017225,
είσαι,1001826,
είμαι,982319,
οι,946218,
στην,940013,
πολύ,910408,
κι,873138,
γιατί,844430,
πως,785242,
τώρα,783872,
εγώ,778129,
εντάξει,754234,
κάτι,689123,
έχει,683904,
ξέρω,682859,
τις,673515,
έχω,659512,
δε,635503,
μην,585442,
έτσι,569017,
εσύ,555975,
καλά,532470,
αυτή,531449,
θέλω,522362,
όταν,507898,
στον,494683,
στη,482940,
μπορώ,479425,
ξέρεις,471631,
έχεις,469137,
κάνεις,460943,
μόνο,456432,
μαζί,452663,
εκεί,448647,
σαν,441226,
όλα,415449,
τίποτα,409387,
ευχαριστώ,408824,
ή,403038,
πώς,401650,
κάνω,395973,
τόσο,376398,
μπορεί,374596,
κάνει,366578,
ποτέ,362622,
απλά,354760,
αυτά,354543,
των,345170,
έλα,341696,
λοιπόν,337757,
στα,335695,
υπάρχει,330207,
ακόμα,329730,
μπορείς,326915,
μέσα,322786,
πάμε,319167,
σπίτι,318719,
αυτός,315072,
τότε,314496,
ίσως,310279,
έχουμε,309993,
πιο,304920,
παρακαλώ,304767,
ένας,303401,
κύριε,302217,
πού,301217,
μετά,288923,
νομίζω,288649,
είμαστε,288534,
πριν,287939,
πάντα,287499,
πίσω,284028,
γεια,282805,
λίγο,280710,
πω,279644,
όπως,274801,
δουλειά,256162,
αλήθεια,251675,
ποιος,251401,
δύο,246174,
είπε,245665,
όλοι,239184,
είχε,235576,
ας,233013,
έναν,232791,
λες,230749,
παιδιά,230153,
άλλο,225921,
θέλεις,223039,
ζωή,220272,
κάνουμε,217884,
δω,215484,
πάω,212164,
μη,208324,
έξω,206458,
καλό,202908,
είπα,201013,
μία,199780,
έχουν,199189,
επειδή,199165,
ήμουν,197800,
μέχρι,193545,
στις,191608,
έπρεπε,190259,
κοίτα,190191,
ώρα,189034,
πάνω,188929,
μένα,188541,
φορά,188337,
χρόνια,188308,
σένα,187515,
είστε,185390,
